Samskrit Word	Samskrit_GenderTelugu	Telugu_Word	Telugu _Gender																						
ekAgra	puM	ekAgrawa	puM																						
ekAkin	puM	ekAki	napuM																						
ekAnwa	napuM:puM	ekAMwamu	napuM:napuM																						
ekawva	napuM	aBexamu^oVkatigA_uMduta	napuM																						
ErAvawa	puM	ErAvawamu	napuM																						
ESvara	puM:napuM	ISvaruniki_saMbaMXiMcinaxi	napuM:napuM																						
eXas	napuM	iMXanamu^samiXa	napuM																						
gahanA	swrI	xattamEna^guha^kaRtamu	puM																						
gajenxra	napuM:puM	gajeMxrudu	puM:puM																						
gAmin	puM:napuM	velYluvAdu	puM:puM																						
gamya	puM:napuM	poMxawaginaxi	napuM:napuM																						
gaNa	puM	gaNamu^samUhamu^vargamu	napuM																						
gANdIva	puM	gANdIvamu	napuM																						
ganXa	puM:napuM	ganXamu^vAsana	napuM:napuM																						
ganXarva	puM	ganXarvudu	puM																						
garBa	puM	garBamu	napuM																						
garIyas	napuM	GanamEnaxi	napuM																						
gawa	puM:napuM	gawa^gawiMcinaxi	napuM:napuM																						
gawi	swrI	gawi^calanamu^poka^gamanaM	napuM																						
gAwra	napuM	avayavamu^SarIramu	napuM																						
gaxgaxa	puM:napuM	gaxgaxa	napuM:napuM																						
gaxin	puM:napuM	gaxAXAri	puM:puM																						
gAyawrI	swrI	gAyawri	swrI																						
geha	napuM	gqhamu^illu^SarIramu	napuM																						
glAni	swrI	alasata	napuM																						
go	puM:swrI	Avu	napuM																						
gocara	napuM:puM	gocaramu	napuM:napuM																						
gomuKa	puM:napuM	gomuKaM	napuM:napuM																						
gopwq	napuM	rakRakudu^rAju	puM																						
GoRa	napuM:puM	GoRa^Xvani	napuM:napuM																						
Gora	napuM:puM	GoramEnaxi^BayaMkaramu	napuM																						
govinxa	puM	goviMxa	puM																						
gqha	napuM	gqhaM^illu	napuM																						
grAha	puM:napuM	grahiMcadaM	napuM:napuM																						
grAha	puM:napuM	grahiMcuvAdu	puM:puM																						
grAhya	puM:napuM	grahiMpawaginaxi	napuM:napuM																						
grAma	puM	grAmamu^samUhaM	napuM																						
GrANa	napuM	vAsana^nAsika	napuM																						
grasiRNu	napuM	winuvAdu^mriMguvAdu	puM																						
grIva	puM	kaNTamu	napuM																						
gudAkeSa	puM	arjunudu	puM																						
guhya	napuM:puM:swrI	guhyamu^rahasyamu	napuM:napuM:napuM																						
guNa	puM:napuM	guNamu	napuM																						
guNamaya	napuM:puM	saxguNamulu_kalavAdu	puM																						
guNamayI	swrI	saxguNamulu_kalaxi	swrI																						
guru	puM	guruvu	puM																						
guru	puM	baruvu^muKyamu	napuM																						
han	puM:napuM	vaXiMcuta	napuM:napuM																						
hAni	swrI	hAni	puM																						
